,model,test,p_value,effect_size,num_targ1,num_targ2,num_attr1,num_attr2
0,bert-base-uncased,sent-weat8b,1.0,,1,1,1,1
1,bert-base-uncased,heilman_double_bind_competent_one_word,0.5,1.414213562373095,1,1,1,1
2,bert-base-uncased,heilman_double_bind_competent_one_sentence,1.0,,1,1,1,1
3,bert-base-uncased,sent-weat6b,0.5,1.414213562373095,1,1,1,1
4,bert-base-uncased,sent-weat8,1.0,,1,1,1,1
5,bert-base-uncased,project_implicit_sexuality,1.0,-1.414213562373095,1,1,1,1
6,bert-base-uncased,sent-weat6,1.0,,1,1,1,1
7,bert-base-uncased,sent-weat7b,1.0,,1,1,1,1
8,bert-base-uncased,heilman_double_bind_competent_1,1.0,,1,1,1,1
9,bert-base-uncased,heilman_double_bind_competent_1-,1.0,,1,1,1,1
10,bert-base-uncased,sent-weat7,0.5,1.414213562373095,1,1,1,1
11,bert-base-uncased,heilman_double_bind_competent_1+3-,1.0,,1,1,1,1
12,bert-large-uncased,sent-weat8b,1.0,,1,1,1,1
13,bert-large-uncased,heilman_double_bind_competent_one_word,1.0,-1.414213562373095,1,1,1,1
14,bert-large-uncased,heilman_double_bind_competent_one_sentence,1.0,,1,1,1,1
15,bert-large-uncased,sent-weat6b,0.5,1.4142135623730951,1,1,1,1
16,bert-large-uncased,sent-weat8,1.0,,1,1,1,1
17,bert-large-uncased,project_implicit_sexuality,0.5,1.414213562373095,1,1,1,1
18,bert-large-uncased,sent-weat6,1.0,,1,1,1,1
19,bert-large-uncased,sent-weat7b,1.0,,1,1,1,1
20,bert-large-uncased,heilman_double_bind_competent_1,1.0,,1,1,1,1
21,bert-large-uncased,heilman_double_bind_competent_1-,1.0,,1,1,1,1
22,bert-large-uncased,sent-weat7,0.5,1.4142135623730951,1,1,1,1
23,bert-large-uncased,heilman_double_bind_competent_1+3-,1.0,,1,1,1,1
24,bert-base-multilingual-uncased,sent-weat8b,1.0,,1,1,1,1
25,bert-base-multilingual-uncased,heilman_double_bind_competent_one_word,1.0,-1.4142135623730951,1,1,1,1
26,bert-base-multilingual-uncased,heilman_double_bind_competent_one_sentence,1.0,,1,1,1,1
27,bert-base-multilingual-uncased,sent-weat6b,1.0,-1.414213562373095,1,1,1,1
28,bert-base-multilingual-uncased,sent-weat8,1.0,,1,1,1,1
29,bert-base-multilingual-uncased,project_implicit_sexuality,0.5,1.4142135623730951,1,1,1,1
30,bert-base-multilingual-uncased,sent-weat6,1.0,,1,1,1,1
31,bert-base-multilingual-uncased,sent-weat7b,1.0,,1,1,1,1
32,bert-base-multilingual-uncased,heilman_double_bind_competent_1,1.0,,1,1,1,1
33,bert-base-multilingual-uncased,heilman_double_bind_competent_1-,1.0,,1,1,1,1
34,bert-base-multilingual-uncased,sent-weat7,0.5,1.4142135623730951,1,1,1,1
35,bert-base-multilingual-uncased,heilman_double_bind_competent_1+3-,1.0,,1,1,1,1
36,distilbert-base-uncased,sent-weat8b,1.0,,1,1,1,1
37,distilbert-base-uncased,heilman_double_bind_competent_one_word,0.5,1.414213562373095,1,1,1,1
38,distilbert-base-uncased,heilman_double_bind_competent_one_sentence,1.0,,1,1,1,1
39,distilbert-base-uncased,sent-weat6b,0.5,1.4142135623730951,1,1,1,1
40,distilbert-base-uncased,sent-weat8,1.0,,1,1,1,1
41,distilbert-base-uncased,project_implicit_sexuality,1.0,-1.414213562373095,1,1,1,1
42,distilbert-base-uncased,sent-weat6,1.0,,1,1,1,1
43,distilbert-base-uncased,sent-weat7b,1.0,,1,1,1,1
44,distilbert-base-uncased,heilman_double_bind_competent_1,1.0,,1,1,1,1
45,distilbert-base-uncased,heilman_double_bind_competent_1-,1.0,,1,1,1,1
46,distilbert-base-uncased,sent-weat7,0.5,1.4142135623730951,1,1,1,1
47,distilbert-base-uncased,heilman_double_bind_competent_1+3-,1.0,,1,1,1,1
